pmid,title,category,combined_text
37842623,Rectal malakoplakia mimicking advanced rectal cancer: A case report.,malakoplakia,"Rectal malakoplakia mimicking advanced rectal cancer: A case report. Malakoplakia is a rare acquired chronic infectious granulomatous condition, that is characterized by the accumulation of large granular macrophages containing basophilic inclusion bodies in the cytoplasm termed Michaelis-Gutmann (MG) bodies. Malakoplakia most commonly involves the genitourinary system, and the second most commonly affected site is the gastrointestinal tract. Rectal malakoplakia is an unusual entity that is difficult to diagnose due to its diverse clinical manifestations and radiological findings that are similar to different diseases and advanced cancers. A 61-year-old male patient presented with difficulty in urination and defecation that started 4 months prior, along with a weight loss of 10 kg. Abdominal computerized tomography (CT) scanning revealed diffuse lesions of the perirectal region with multiple lymphadenopathies and involvement of the bladder, prostate, bilateral seminal vesicles, and left ureter. 18F-FDG PET/CT MIP showed intense FDG uptake in the rectal region, and a diagnosis of an occupying lesion was proposed. Colonoscopy and histological examination of rectal lesion biopsies showed the characteristic features of malakoplakia. Malakoplakia of the rectum with lymph node involvement and adjacent organ extension has been extensively misdiagnosed in clinical practice, and mimics malignancy radiologically. It is of great importance for radiologists to be aware of malakoplakia when making the differential diagnosis of benign and malignant mass lesions of the rectum, although the radiologic findings are nonspecific. Endoscopic evaluation and pathologic examination of a biopsy should be recommended to make the correct diagnosis, which may prevent unnecessary surgical resection."
37795252,Xanthogranulomatous Endometritis with calculus formation in setting of prolapsed uterus.,malakoplakia,"Xanthogranulomatous Endometritis with calculus formation in setting of prolapsed uterus. Xanthogranulomatous inflammation is a rare benign inflammatory lesion characterized by sheets of lipid-laden foamy histiocytes. It has been reported in various organs, mainly the kidney and gall bladder. Xanthogranulomatous endometritis (XGE) is sporadic, with only a few cases reported in the English medical literature. Herein, we report a case of xanthogranulomatous endometritis with the formation of stones in a 50-year-old female patient with a prolapsed uterus. Grossly the endometrium was irregular, and the uterine cavity was filled with a yellow friable material, a polypoid growth, and yellowish stones. The microscopy showed sheets of histiocytes with few preserved endometrial glands. In this case, the xanthogranulomatous inflammation may mimic a clear cell carcinoma involving the endometrium and myometrium. One of the important differential diagnoses is malakoplakia. Immunohistochemistry and special stains are helpful in diagnosis."
37682609,FDG-Avid Malakoplakia of the Ureter Mimicking Malignancy.,malakoplakia,"FDG-Avid Malakoplakia of the Ureter Mimicking Malignancy. Malacoplakia is a rare chronic granulomatous disease and frequently associated with Escherichia coli infection. We describe the contrast-enhanced CT and FDG PET/CT findings in a case of bladder and ureteral malakoplakia with E. coli urinary tract infection. Contrast-enhanced CT showed multiple enhancing mural nodules in the bladder and left ureter, ranging from several millimeters to 3.1 cm. The ureteral nodules showed significantly increased FDG uptake with SUVmax of 20.4, due to histiocyte, lymphocyte, and plasma cell infiltrates revealed by histopathology."
37647838,A case of canine intestinal malakoplakia.,malakoplakia,"A case of canine intestinal malakoplakia. Malakoplakia is a rare chronic granulomatous disease usually affecting the urinary bladder and other locations. In humans, the gastrointestinal tract is the second most common location but there are no reports of intestinal malakoplakia in animals. A 10-month-old female French Bulldog was presented with chronic haemorrhagic diarrhoea and anorexia with normochromic-normocytic anaemia and hypoalbuminaemia. Grossly, there was mucosal thickening and ulceration of the caecum, colon and rectum. Microscopically, transmural sheets of foamy macrophages were seen in these tissues. Macrophages were periodic acid-Schiff, vimentin and ionized calcium-binding adaptor molecule 1 positive and contained von Kossa- and Prussian blue-positive Michaelis-Gutmann bodies. Giemsa staining revealed rod-shaped bacterial colonies and fluorescence in-situ hybridization demonstrated Escherichia coli within macrophages. This is the first reported case of intestinal malakoplakia in domestic animals. Pathological features of intestinal malakoplakia share many similarities with ulcerative histiocytic colitis in dogs but it is unclear if they are different forms of the same pathological process or distinct entities."
37597743,A Case of Urinary Bladder Malakoplakia in a Young French Bulldog: Diagnostic and Therapeutic Issues.,malakoplakia,"A Case of Urinary Bladder Malakoplakia in a Young French Bulldog: Diagnostic and Therapeutic Issues. A 3-month-old female French Bulldog presented with hematuria, severe pollakiuria, and urinary incontinence lasting for 1.5 months. Broad-spectrum empirical antibiotic therapy and nonsteroidal anti-inflammatory drugs were initiated by the referring veterinarian. Due to a lack of improvement, the dog was referred. At referral examination, urinary clinical signs persisted (hematuria, severe pollakiuria) and a firm bladder was noted. Abdominal ultrasonography revealed severe, diffuse bladder wall thickening with a significant reduction in the bladder lumen. Urinary tract endoscopy showed whitish exophytic proliferations throughout the entire bladder wall. Histological bladder wall analysis led to a diagnosis of bladder malakoplakia. Prolonged antibiotic therapy with fluoroquinolones was prescribed and resulted in clinical remission despite persistent bacteria in the bladder wall. This report describes a case of successfully medically managed bladder malakoplakia, a very rare condition in veterinary medicine, well documented in humans."
37313104,Malakoplakia of the Gallbladder: A Case Report.,malakoplakia,"Malakoplakia of the Gallbladder: A Case Report. Histiocytes are cells that are involved in the immune responses of the body. They are unable to properly break down the bacterial material in malakoplakia, a chronic granulomatous histiocytic disease that occurs in immunocompromised patients and autoimmune conditions. Very few reports of these lesions exist, as those that occur in the gallbladder. It typically affects the urinary bladder, alimentary tract, cutaneous, hepato-biliary, and male and female genital systems. These lesions are usually incidental findings that result in patients being misdiagnosed. A 70-year-old female presented with right lower quadrant abdominal pain, and malakoplakia of the gallbladder was diagnosed. Histopathology findings revealed malakoplakia of the gallbladder, and the same was confirmed with special stains such as periodic acid-Schiff (PAS). This case highlights the role of gross and histopathology findings as a clue to the diagnosis, which helps the surgeon with further management."
37276495,Multiple-Organ Involvement of Malakoplakia Mimicking Malignant Neoplasms on 18 F-FDG PET/CT.,malakoplakia,"Multiple-Organ Involvement of Malakoplakia Mimicking Malignant Neoplasms on 18 F-FDG PET/CT. Abdominal contrast-enhanced CT was performed in a 61-year-old man with difficulties of urination and defecation for 4 months, which revealed huge rectal masses involving multiple adjacent organs, suspected as malignant lesions. 18 F-FDG PET/CT was subsequently performed for staging. The images showed intense FDG uptake and slightly hyperdense masses involving rectum, bladder, prostate, left ureter, and the anterior abdominal wall at the level of the pelvic cavity. Histopathological examination confirmed the masses were due to malakoplakia, which displayed as abundant von Hansemann cells aggregated and infiltrated in lesions, with distinctive cytoplasmic inclusions termed Michaelis-Gutmann bodies."
41050011,Prostatic Malakoplakia as a Mimic of Prostate Cancer Progression.,malakoplakia,"Prostatic Malakoplakia as a Mimic of Prostate Cancer Progression. Prostatic malakoplakia is a rare chronic inflammatory condition that can present as a cancer mimic and can co-occur with prostate adenocarcinoma. Typically, patients with prostate adenocarcinoma who present with evidence of disease progression while on androgen deprivation therapy (ADT) and a low prostate-specific antigen (PSA) level raise concern for transformation to small cell neuroendocrine carcinoma (SCNEC) of the prostate. A 67-year-old man with known locally advanced prostate adenocarcinoma was admitted with functional decline, radiographic tumor growth, and a low PSA. A repeat prostate biopsy was obtained to assess for transformation to SCNEC, but instead showed concurrent malakoplakia with his stable adenocarcinoma. With antibiotics, his peri-prostatic mass decreased in size, and he experienced an improvement in his functional status, allowing him to resume his ADT. Recurrent urinary tract infections, solid tumors, and immunosuppression are all risk factors for the development of prostatic malakoplakia, which is diagnosed pathologically from biopsy or after prostatectomy. Treatment is either long-term antibiotics or surgical resection. Prostatic malakoplakia should be considered as a mimic of disease progression in patients who have evidence of cancer progression despite a lower-than-expected PSA."
40952491,Solid masses arising in transplanted kidneys.,differential_diagnosis,"Solid masses arising in transplanted kidneys. Renal transplantation is an established surgical option for patients with end-stage renal failure and leads to considerable improvement in the survival and quality of life of these patients. Imaging, particularly sonography, is often used to follow-up of renal transplant patients. CT and MRI are used to further assess abnormal sonographic findings. Uncommonly, these patients present with a mass in the allograft. In this review, we discuss the causes and imaging findings of solid masses that arise in or around the renal allograft."
40951871,A case report of prostatic malacoplakia after heart transplantation and review of the literature.,malakoplakia,"A case report of prostatic malacoplakia after heart transplantation and review of the literature. Prostatic malacoplakia is a relatively rare granulomatous inflammatory disease that is easily misdiagnosed as prostate cancer. Usually, patients' symptoms are improved through antibacterial treatment. We performed thulium laser enucleation of the prostate by the triple-groove, triple-arc method on a 68-year-old man, a patient with significant dysuria. The patient has significantly improved lower urinary tract symptoms and quality of life."
40863094,Renal Malacoplakia Following Obstetric Intervention: A Rare Cause of Acute Kidney Injury in a Young Woman.,malakoplakia,"Renal Malacoplakia Following Obstetric Intervention: A Rare Cause of Acute Kidney Injury in a Young Woman. <b>Introduction</b>: Renal malacoplakia is a rare chronic granulomatous disease, often associated with immunosuppression and persistent Gram-negative infections, particularly <i>Escherichia coli</i>. <b>Case Presentation</b>: We present a case involving a 31-year-old woman with hypertension, gestational diabetes, and prior uterine curettage after labor induction for preeclampsia at 23 weeks. She developed urinary sepsis post-procedure. Imaging revealed bilateral nephromegaly, while laboratory tests showed acute kidney injury (KDIGO stage III), anemia, and thrombocytopenia. Blood and urine cultures grew <i>Escherichia coli</i>. Renal biopsy confirmed malacoplakia, demonstrating PAS-positive Michaelis-Gutmann bodies and Von Hansemann cells. The patient responded to prolonged antibiotic therapy and supportive care. <b>Discussion and Conclusion</b>: This case highlights the importance of considering renal malacoplakia in patients with atypical urinary tract infections and nephromegaly, particularly in obstetric settings. Histopathological confirmation is essential, and timely treatment with intracellularly active antibiotics can lead to favorable outcomes. Early diagnosis is critical to prevent irreversible renal damage."
39149189,Malakoplakia: A rare cause of hematochezia in pediatric patients.,malakoplakia,"Malakoplakia: A rare cause of hematochezia in pediatric patients. Malakoplakia is a rare inflammatory condition characterized by impaired macrophages unable to completely digest and kill phagocytized bacteria, resulting in partially digested bacterial components accumulating within the phagolysosome. Malakoplakia typically presents in immunocompromised individuals due to underlying disease or to medication effects and is rarely diagnosed in the pediatric population. The urinary tract is the most commonly involved site, followed by the gastrointestinal (GI) tract, mainly affecting the descending colon, sigmoid colon, and rectum. Treatment focuses on the use of antibiotics that concentrate in macrophages such as quinolones and trimethoprim-sulfamethoxazole as well as cholinergic agents such as bethanechol, which raise intracellular levels of cyclic guanosine monophosphate in macrophages to improve bactericidal activity. We report a rare case of GI tract malakoplakia in a pediatric patient undergoing treatment for leukemia."
38914526,Ovarian tumour-cutaneous fistula as a primary presentation of pelvic malakoplakia coexisting with a benign ovarian tumour mimicking advanced ovarian cancer.,malakoplakia,"Ovarian tumour-cutaneous fistula as a primary presentation of pelvic malakoplakia coexisting with a benign ovarian tumour mimicking advanced ovarian cancer. Malakoplakia is a rare granulomatous, chronic inflammatory disease generally affecting the urogenital organs, though it can arise in other organs. The clinical manifestations of malakoplakia vary depending on the affected organ. The final diagnosis is confirmed by the presence of Michaelis-Gutmann bodies on pathology. This report describes a case of pelvic malakoplakia accompanied by an ovarian tumour-cutaneous fistula, initially misdiagnosed as advanced ovarian cancer invading the anterior abdominal wall with left pleural effusion based on imaging studies and increased serum carbohydrate antigen 19-9. The patient underwent left thoracentesis and fluid collection from the fistula tract for cytology, which showed no malignancy. She underwent primary debulking surgery, including removal of the fistula tract from anterior abdominal wall. Histopathological examination revealed malakoplakia coexisting with mucinous cystadenoma of the left ovary. For postoperative management, she received prolonged oral antibiotics for 6 months. There was no evidence of disease recurrence at the 24-month follow-up."
38895183,Case report: A rare case of malacoplakia resembling a malignant tumor of the cervix: a case report and review of the literature.,malakoplakia,"Case report: A rare case of malacoplakia resembling a malignant tumor of the cervix: a case report and review of the literature. Malacoplakia is a rare chronic granulomatous disease that mostly affects the gastrointestinal tract and urinary tract of immunocompromised patients; malacoplakia rarely effects the female reproductive tract. Here, we report a 56-year-old patient who underwent thymectomy for thymoma and myasthenia gravis prior to developing cervical and vaginal malacoplakia. The patient presented with recurrent vaginal bleeding. We discovered that there were alterations in the cervical cauliflower pattern during colposcopy, which is suggestive of cervical cancer. Pathological examination of the lesion tissue showed that a large number of macrophages aggregated, and M-G bodies with concentric circles and refractive properties were observed between cells. Immunostaining for CD68 and CD163 was positive, and special staining for D-PAS and PAS was positive. The discovery of <i>Escherichia coli</i> in bacterial culture can aid in the diagnosis of malacoplakia. Following surgery, we performed vaginal lavage with antibiotics in addition to resection of local cervical and vaginal lesions. This study provides a fresh perspective on the management of genital malacoplakia."
38890600,A very complicated UTI: malakoplakia following E. coli urinary tract infection.,malakoplakia,"A very complicated UTI: malakoplakia following E. coli urinary tract infection. Malakoplakia is a rare inflammatory disorder believed to result from a defect in macrophage phagocytic function triggering a granulomatous reaction. It can present with genitourinary, gastrointestinal, or cutaneous manifestations in immunocompromised or, less commonly, immunocompetent hosts. We describe a case of renal malakoplakia in a young, otherwise healthy patient presenting with nephromegaly and sepsis following an E. coli urinary tract infection. We discuss diagnosis and management, including antibiotic selection and the decision to pursue nephrectomy. This case highlights the potential for kidney recovery with prolonged antibiotic therapy in conjunction with adjunct immunomodulatory therapies and source control."
38861402,A Rare Case of Renal Malakoplakia Incidentally Detected on 18 F-FDG PET/CT in a Patient With Concomitant Breast Cancer and Lymphoma.,malakoplakia,"A Rare Case of Renal Malakoplakia Incidentally Detected on 18 F-FDG PET/CT in a Patient With Concomitant Breast Cancer and Lymphoma. Malakoplakia is a rare inflammatory disease that most frequently affects the urinary tract. We present the case of a patient who had been receiving treatment for breast cancer, who later on went on to develop diffuse large B-cell lymphoma for which she was started on RCHOP therapy. It was during her treatment that she underwent a whole-body 18 F-FDG PET/CT for response evaluation and was incidentally diagnosed to have bilateral renal malakoplakia, which resolved after a prolonged course of antibiotic therapy."
38375855,Renal Malakoplakia.,malakoplakia,Renal Malakoplakia. 
